state,district,soil type,crop,n,p,k,temperature,humidity,rainfall,recommendation,accuracy,yield
Andhra Pradesh,Nellore,Sandy Soil,Wheat,107.31528969232018,39.78451963416218,25.539140115128596,17.030051806883844,51.303431682530245,781.1118394441179,Wheat,87.04511689777692,3369.177416230799
Andhra Pradesh,Guntur,Sandy Soil,Millet,37.918397201307656,44.43681289482355,55.125271502356085,30.580646564831632,63.24998725303102,577.4800771449293,Millet,88.93750077141046,1142.925080802493
Gujarat,Ahmedabad,Clay Soil,Groundnut,32.90290021015159,49.7243302012041,79.08313536128426,25.546528802183737,68.83209149628031,820.33481090028,Groundnut,91.80717314328403,1506.2626126590326
Kerala,Thrissur,Black Soil,Cotton,73.07187800230156,56.49109920358282,43.13811282138276,30.020743619056688,64.8954317213572,791.3968722346563,Cotton,87.57313918385701,1991.8430875562349
Karnataka,Mysuru,Red Soil,Groundnut,61.797905681450914,45.47677147656184,76.76403604675694,24.913893388611992,64.62643197316983,734.0737758403794,Groundnut,92.27360660331306,1796.674690994618
Karnataka,Mysuru,Black Soil,Wheat,98.17020177182039,49.37546049199343,42.59547048200075,16.52639994903889,50.68815489424044,454.995217986122,Wheat,93.17276230992978,3929.9915661421214
Karnataka,Tumkur,Sandy Soil,Rice,88.37175567525841,21.705304670190134,69.09301100609477,21.023055099221992,83.91792106077548,1397.5749637431438,Rice,89.50633329471424,4409.7751885059815
Maharashtra,Nagpur,Red Soil,Millet,41.110231638272,39.84205323071963,40.35799295806677,27.1018418609682,57.057297024288516,518.6297301131424,Millet,86.61057316190214,1242.7793993446292
Tamil Nadu,Salem,Black Soil,Cotton,63.908772353165304,40.84660964500028,47.37163548095751,34.383829167303645,64.15260226623346,909.1608634626871,Cotton,87.78503489179468,1719.7301805120937
Karnataka,Mysuru,Red Soil,Millet,81.23646236620692,29.994590945683413,34.852675142378246,28.310350051831158,58.358911879033954,434.7173894056102,Millet,86.19023491527493,1602.5586852776983
Maharashtra,Nagpur,Alluvial Soil,Sugarcane,94.74130542553038,52.55255869105414,55.29273106963332,30.264733613449316,78.82611310764354,1338.3473306073356,Sugarcane,91.55993831769923,5930.095195721839
Karnataka,Mysuru,Sandy Soil,Groundnut,39.65070706558754,51.84868098384993,82.93811823531802,24.02025711932162,80.3739050840667,740.7457877418971,Groundnut,89.80910586971497,2337.444010121986
Gujarat,Ahmedabad,Sandy Soil,Groundnut,51.69217633631962,58.58115964524662,49.42619321231305,23.964261355087835,70.36274810447821,876.2765140517103,Groundnut,88.18729617674325,1516.6205166490417
Karnataka,Bengaluru,Alluvial Soil,Millet,62.84847253386734,27.08424972268847,49.79065504431847,33.43054900152093,46.52889839414543,456.0669700946397,Millet,89.07184064952581,1563.0206013132035
Karnataka,Bengaluru,Alluvial Soil,Rice,102.01578614357565,38.65191696615111,60.556785917146215,22.679052673176198,79.50149791571634,1133.246703944832,Rice,85.45033777816714,3975.416747752698
Kerala,Palakkad,Alluvial Soil,Rice,86.57524097901234,40.96925570626745,38.57639270247376,26.366324417540742,79.438350883391,1101.4391163145003,Rice,87.06114481996785,3918.532473550782
Andhra Pradesh,Guntur,Black Soil,Cotton,67.83380138317798,53.934748650527965,53.507926655318315,27.874477714256727,52.98986244024937,740.5543442885547,Cotton,88.97059894228047,1688.4478586814137
Andhra Pradesh,Nellore,Clay Soil,Sugarcane,86.10702357231766,61.23828822786225,35.78958336346252,29.213592461611203,78.33487886255412,1277.6347508417653,Sugarcane,86.89094213889811,5848.209802961271
Andhra Pradesh,Guntur,Red Soil,Millet,51.24696778971566,34.07268629265304,52.312188028160435,30.345221271921844,59.72786551073851,318.9995622239443,Millet,90.36994475440548,1766.170192746444
Gujarat,Vadodara,Sandy Soil,Cotton,79.76253778130575,50.85537421004923,41.98297235837866,26.062650907948147,61.01886568886731,828.4962705006017,Cotton,91.20268532852319,2337.381764924056
Karnataka,Mysuru,Black Soil,Cotton,82.21989880670421,48.692013371693534,48.773577479736275,34.42155138355245,61.97030011970054,781.0762602535501,Cotton,95.39285801491303,1622.2544918955123
Gujarat,Surat,Alluvial Soil,Sugarcane,105.68105330795662,49.83269976479286,42.048380081655914,32.584294246061376,78.99921659336974,1180.7866333578445,Sugarcane,98.15508386795806,4941.914004179959
Tamil Nadu,Madurai,Clay Soil,Sugarcane,113.89120803048219,54.135101123806564,41.10411459592244,27.777634789957144,84.40746809420267,1163.2365851976567,Sugarcane,85.20806005915946,5407.972159452571
